phase;category;amount;amount_normalised
1897–1906 (pre-Eulenburg Affair);Law & Justice;18;0.197802198
1897–1906 (pre-Eulenburg Affair);Politics & State;14;0.153846154
1897–1906 (pre-Eulenburg Affair);Society & Social Structure;15;0.164835165
1897–1906 (pre-Eulenburg Affair);Media & Communication;10;0.10989011
1897–1906 (pre-Eulenburg Affair);General Concepts & Abstract Terms;14;0.153846154
1897–1906 (pre-Eulenburg Affair);Culture & Knowledge;4;0.043956044
1897–1906 (pre-Eulenburg Affair);Science, Medicine & Psychology;10;0.10989011
1897–1906 (pre-Eulenburg Affair);Economy & Finance;2;0.021978022
1897–1906 (pre-Eulenburg Affair);Military;0;0
1897–1906 (pre-Eulenburg Affair);Ranks & Named Entities;4;0.043956044
1907–1909 (Eulenburg Affair);Law & Justice;30;0.147058824
1907–1909 (Eulenburg Affair);Politics & State;29;0.142156863
1907–1909 (Eulenburg Affair);Society & Social Structure;21;0.102941176
1907–1909 (Eulenburg Affair);Media & Communication;23;0.112745098
1907–1909 (Eulenburg Affair);General Concepts & Abstract Terms;49;0.240196078
1907–1909 (Eulenburg Affair);Culture & Knowledge;9;0.044117647
1907–1909 (Eulenburg Affair);Science, Medicine & Psychology;9;0.044117647
1907–1909 (Eulenburg Affair);Economy & Finance;7;0.034313725
1907–1909 (Eulenburg Affair);Military;11;0.053921569
1907–1909 (Eulenburg Affair);Ranks & Named Entities;16;0.078431373
1910–1914 (post-Eulenburg Affair);Law & Justice;19;0.218390805
1910–1914 (post-Eulenburg Affair);Politics & State;17;0.195402299
1910–1914 (post-Eulenburg Affair);Society & Social Structure;6;0.068965517
1910–1914 (post-Eulenburg Affair);Media & Communication;7;0.08045977
1910–1914 (post-Eulenburg Affair);General Concepts & Abstract Terms;17;0.195402299
1910–1914 (post-Eulenburg Affair);Culture & Knowledge;4;0.045977011
1910–1914 (post-Eulenburg Affair);Science, Medicine & Psychology;7;0.08045977
1910–1914 (post-Eulenburg Affair);Economy & Finance;2;0.022988506
1910–1914 (post-Eulenburg Affair);Military;4;0.045977011
1910–1914 (post-Eulenburg Affair);Ranks & Named Entities;6;0.068965517
