id;keyword;context
Protocol_1897_04_05_01;widernat;verdacht erweckt unsittlicher mensch meinetwegen widernatuerlichen lastern hingiebt reputation angestellten lange
Protocol_1898_01_13_01;175;ich insbesondere eingang bestimmungen paragraf 175 – handelt widernatuerlichen unzucht – auge nothwendig
Protocol_1898_01_13_01;175;verfuegung vorzulegen pruefung bestimmung paragraf 175 eingangs aufrecht erhalten duerfen aufrecht
Protocol_1898_01_13_01;175;quelle bekannt polizei maennern paragraf 175 zuchthaus bedrohte verbrechen begehen erfahrung
Protocol_1898_01_13_01;175;preussische staat gezwungen verbrechen paragraf 175 berlin begangen suehnen neue gefaengnissanstalten
Protocol_1898_01_13_01;175;gesellschaftskreisen entsteht bestimmung eingang paragraf 175 maenner frauen auszudehnen verbrechen begangen
Protocol_1898_01_13_01;175;verbrechen paragraf bestraft behandelt paragraf 175 strafgesetz gehandhabt strafgesetz gruenden punkte
Protocol_1898_01_13_01;175;sinne einzutreten beseitigung bestimmung paragraf 175 herbeigefuehrt
Protocol_1898_01_13_01;widernat;eingang bestimmungen paragraf 175 – handelt widernatuerlichen unzucht – auge nothwendig kommission gewaehlt
Protocol_1898_01_19_01;175;der abgeordnete bebel neulich paragraf 175 strafgesetzbuchs widernatuerlichen unzucht handelt polizei
Protocol_1898_01_19_01;widernat;bebel neulich paragraf 175 strafgesetzbuchs widernatuerlichen unzucht handelt polizei verfolge praxis
Protocol_1899_03_09_01;175;zwischenraeumen petitionen zugegangen bezwecken paragraf 175 aufzuheben widernatuerliche unzucht personen maennlichen
Protocol_1899_03_09_01;175;krankhafter geistiger stoerung verbrechen – paragraf 175 – begangen zweifellos genuegen einzelnen falle
Protocol_1899_03_09_01;widernat;zugegangen bezwecken paragraf 175 aufzuheben widernatuerliche unzucht personen maennlichen geschlechts bestraft
Protocol_1899_03_09_02;sexu;meine wende vorredner bemerkung paragrafen homosexualitaet – ausdruck gebrauchen – strafe gesetzt wissen
Protocol_1901_02_21_01;komitee;lautet reichstag beschliessen petition wissenschaftlichhumanitaeren komitees (abaenderung tz 175 strafgesetzbuchs – petitionsverzeichniss
Protocol_1901_02_21_01;175;petition wissenschaftlichhumanitaeren komitees (abaenderung tz 175 strafgesetzbuchs – petitionsverzeichniss 161) berathung plenum
Protocol_1903_01_21_01;hirschfeld;wozu welt juden hirschfeld genossen neugebauten grundstuecke bellevuestrasse abkaufen
Protocol_1904_06_11_01;175;k) 19 betreffend aenderung paragraf 175 strafgesetzbuchs (nr 407 drucksachen) berichterstatter
Protocol_1905_03_30_01;sexu;mietern ungewoehnlich erschien schluss anormale sexuelle veranlagung berechtigt erscheinen liess verwundern
Protocol_1905_03_31_01;sexu;angelegenheit beruehrt moechte naturwissenschaftliche physiologische homosexualitaet bisexualitaet breitere oeffentliche eroerterung gerueckt
Protocol_1905_03_31_01;sexu;ausserordentlich harten worten diejenigen beurteilt homosexuelle handlungen begehen indirekt diejenigen homosexuellen
Protocol_1905_03_31_01;sexu;empfindungen dingen schweigen gemuetsleben gemuetserregungen homosexuell veranlagten homosexuell handelnden hineindenken strafgesetzbuch
Protocol_1905_03_31_01;sexu;kollege thaler kommissionsbericht theorie unverantwortlichkeit kontraersexuellen beruhe groesstenteils voelligen ignorierung willensfreiheit
Protocol_1905_03_31_01;sexu;aufhebung paragraf 175 vollstaendige straffreiheit homosexuelle handlungen gefordert beschraenkung gewuenscht bestrafung
Protocol_1905_03_31_01;sexu;sprachgebiet 20 jahre sehr eingehend homosexualitaet beschaeftigte ausnahmslos bestaetigt bereits gelehrten
Protocol_1905_03_31_01;sexu;paragrafen moeglichst abzuaendern obengenannten laendern sexuelle akte personen geschlechts personen verschiedenen
Protocol_1905_03_31_01;sexu;freien walten laster einschraenkung strafbarkeit homosexuellen handlungen gerechtigkeit gefordert weiblichen geschlecht
Protocol_1905_03_31_01;sexu;bereits zugestanden ist allgemeinen bekannt homosexueller verkehr frauen heutigen strafgesetz strafbar
Protocol_1905_03_31_01;sexu;homosexuelle verkehr maennern strafbarkeit unterliegt meineherren
Protocol_1905_03_31_01;sexu;sicherheit anschwellen neigungen erwarten neigung homosexuellen geschlechtsverkehr ueben allerseltensten faellen – beweisen
Protocol_1905_03_31_01;sexu;ungluecklichen menschen fuehren naturwissenschaft neuerdings homosexualitaet stellung sehr einfach wissenschaft erkannt
Protocol_1905_03_31_01;sexu;komitees grossem nachdruck grade physiologische homosexuellen fortgesetzt oeffentliche debatte geworfen mag
Protocol_1905_03_31_01;sexu;konstruieren person anzuerkennen gewillt mag homosexuellen wahren ideale geistig tuechtigsten hinstellt
Protocol_1905_03_31_01;sexu;karte empfing zeichen buchstaben mitteilen homosexuell normalsexuell bisexuell brauchte name angegeben
Protocol_1905_03_31_01;sexu;geistlichen szene gesetzt ergebnis enquete heterosexuell normal sexuell empfindenden charlottenburger studentenenquete
Protocol_1905_03_31_01;sexu;prozent dementsprechend ergebnis uebereinstimmend hinsichtlich sexuell normalen abweichenden betraegt charlottenburger studentenenquete
Protocol_1905_03_31_01;sexu;prozent metallarbeiterenquete 43 prozent abweichenden homosexuellen charlottenburger enquete 15 prozent amsterdamer
Protocol_1905_03_31_01;sexu;prozentsaetzen zutage schaetzungen ziffern die homosexuellen umfang zweigeschlechtlichen naturanlage behaupten rein
Protocol_1905_03_31_01;sexu;zutage getreten 1 prozent maenner homosexuell erwiesen ziffern feststehend ergebnissen geradezu
Protocol_1905_03_31_01;sexu;ehrenrechte moeglich macht ueberhaupt bezweifeln homosexualitaet ziemlichem umfang bestehe macht kommissionsbericht
Protocol_1905_03_31_01;sexu;irrenanstalt vieljaehrigem wirken lr) einzigen homosexualitaet kennen gelernt meinung enqueten charlottenburg
Protocol_1905_03_31_01;sexu;amsterdam metallarbeitern zweifel dargetan homosexualitaet verbreiteter anzunehmen geneigt enquete festgestellten
Protocol_1905_03_31_01;sexu;legt zahlen die enqueten menge homosexuell empfindenden ergeben berechnungen zu ergebnissen
Protocol_1905_03_31_01;sexu;millionen einwohnern deutschland 560 000 homosexuellen deutschland 560 000 wahrscheinlich gering
Protocol_1905_03_31_01;sexu;hoch angegeben weiblichen homosexuell empfindenden gerechnet frauen – anlass grunde
Protocol_1905_03_31_01;sexu;ueberhaupt bestrafung gelangt einwand trifft homosexuellen handlungen vollsten umfange buche mitgliedern
Protocol_1905_03_31_01;sexu;das ergebnis statistischen untersuchung prozentsatz homosexuellen – mitgeteilt paragraf 175 reichsstrafgesetzbuchs widernatuerlicher
Protocol_1905_03_31_01;sexu;faelle 175 diejenigen persoenliches verschulden homosexuellen handlungen erblicken stutzig rein persoenliches
Protocol_1905_03_31_01;sexu;sechsmal oefter vergehens strafrichter standen homosexualitaet berufe umfasst beweist personenstandsregister 535
Protocol_1905_03_31_01;sexu;freien berufsarten 12 beruf 8 homosexualitaet geschlecht beschraenkt religion beschraenkt bestraften
Protocol_1905_03_31_01;sexu;deutschland macht alter unterschied vorkommen homosexuellen handlungen statistik 15 jahren 13
Protocol_1905_03_31_01;sexu;personen wenn wiederholt durchblicken laesst homosexuellen handlungen uebersaettigung lasterhaften ausschreitens zeigt
Protocol_1905_03_31_01;sexu;weiss jahren – jahre 1902 statistik – homosexuellen vergehen bestraften personen gestiegen rahmens
Protocol_1905_03_31_01;sexu;ungefaehren frueheren prozentsatzes wie homosexuelle handlungen begehen bestraft verschwindend geringer
Protocol_1905_03_31_01;sexu;gebaut – deutschland 1 260 000 homosexuell veranlagte personen haelfte frauen 600
Protocol_1905_03_31_01;sexu;000 homosexuell empfindende maennliche personen 600000 fuenftel
Protocol_1905_03_31_01;sexu;strafmuendige alter 248 000 viertel homosexuelle erwachsene straf muendige maennliche personen
Protocol_1905_03_31_01;sexu;deutschland 250 000 maennern woechentlich homosexuellen akt multiplikation 52 anzahl 13
Protocol_1905_03_31_01;sexu;millionen homosexueller akte jaehrlich deutschland maennern begangen
Protocol_1905_03_31_01;sexu;verzeichnis vorlesen vorhin hervorhob trieb homosexualitaet abhaengig alter geschlecht berufe religion
Protocol_1905_03_31_01;sexu;grossen staedten kleinen kommissionsberichte strafbarkeit homosexuellen handlungen deswillen abstand handlungen gesundheit
Protocol_1905_03_31_01;sexu;sanitaere missstaende grossen kleinen gemeinwesen homosexuellen handlungen sehr bezeichnend satz kommissionsbericht
Protocol_1905_03_31_01;sexu;lautet homosexuellen ausschreitungen griechen roemern staaten aufgetreten
Protocol_1905_03_31_01;sexu;annehmen wahr beweist zahlreiche auftreten homosexualitaet deutschland bezw europaeischen staaten – nicht
Protocol_1905_03_31_01;sexu;besser deutschland – europaeische kultur verfall homosexualitaet ursache verfalls wirkung bereits begonnenen
Protocol_1905_03_31_01;sexu;gilt neuerdings anzahl faellen bekannt homosexuellen handlungen gerichtsverhandlungen gefuehrt verhandlungen enthuellen
Protocol_1905_03_31_01;sexu;tieftraurige seelenqualen beweisen schwer homosexuellen ringen neigung gefahr strafrichter ausgeliefert
Protocol_1905_03_31_01;sexu;bekannt zusammentraegt monat verhandlungen erpressung homosexuell veranlagten weise geschroepft weise seelenfrieden
Protocol_1905_03_31_01;sexu;zurueckzufuehren find sehr faellen duerfte homosexuelle veranlagung ungluecklichen wahre die petition
Protocol_1905_03_31_01;sexu;der zugetragen abweisen offenes geheimnis homosexuelle neigungen schichten bevoelkerung altersstufen geschlechtern
Protocol_1905_03_31_01;sexu;kreise leiden bestraft – sehr haeufig homosexuellen handlungen hervorragendsten kreisen erstklassigen begangen
Protocol_1905_03_31_01;sexu;polizei bekannt greift ungerechtigkeit homosexualitaet bestraft polizei gericht verpflichtung kenntnis
Protocol_1905_03_31_01;sexu;hoch hoechststehenden personen polizeidirektor gewusst homosexuelle neigungen homosexuell betaetigen paragraf 175
Protocol_1905_03_31_01;sexu;kennt diejenigen hohen hoechsten kreisen homosexuell betaetigen weiss charakterfeste uebertragen paragraf
Protocol_1905_03_31_01;sexu;gebuehrt jahren bekannt gewordenen faellen homosexualitaet erinnere grossindustriellen rheinland essen krupp
Protocol_1905_03_31_01;sexu;staerker wille bekannt zu laufen homosexuelle maenner namhaft wissen homosexuell veranlagte
Protocol_1905_03_31_01;sexu;homosexuell betaetigende weilen konsequenzen mutiger von
Protocol_1905_03_31_01;sexu;verirrungen frueheren zeiten zaehlen naturanlage homosexualitaet zwingt untersuchungen zwingt der freie
Protocol_1905_03_31_01;sexu;anspruch menschen ungestoert betaetigen begreifen homosexuell veranlagte geschlechtlichen verkehr homosexuellen mehrheit
Protocol_1905_03_31_01;sexu;gesetze heterosexuelle betaetigung geschlechtslebens anormales recht paragraf
Protocol_1905_03_31_01;gleichgeschl;angehoerten eingeholtes gutachten abgegeben strafandrohungen gleichgeschlechtlichen verkehrs aufzuheben begruendung stehenden handlungen
Protocol_1905_03_31_01;hirschfeld;wissen vorsitzende wissenschaftlich-humanitaeren komitees hirschfeld charlottenburg enquete studenten technischen hochschule
Protocol_1905_03_31_01;hirschfeld;beantworten ausserordentlich staatsgefaehrliche handlung erblickt hirschfeld bekannten prozess anregung geistlichen szene
Protocol_1905_03_31_01;komitee;wildenbruch unterzeichner petition briefe humanitaere komitee geschrieben beeile ernste aufforderung beantworten
Protocol_1905_03_31_01;komitee;hervorbringt zweifel verdienst humanitaer-wissenschaftlichen komitees grossem nachdruck grade physiologische homosexuellen
Protocol_1905_03_31_01;komitee;oeffentliche debatte geworfen mag humanitaere komitee regel neuen bewegungen scharf standpunkt
Protocol_1905_03_31_01;komitee;tuechtigsten hinstellt ausschreitungen geaendert humanitaere komitee grosse verdienst anspruch nachdruecklich angelegenheit
Protocol_1905_03_31_01;komitee;erregte wissen vorsitzende wissenschaftlich-humanitaeren komitees hirschfeld charlottenburg enquete studenten technischen
Protocol_1905_03_31_01;komitee;luft gebauten berechnungen wissenschaftlichen humanitaeren komitees persoenliches verschulden ausnahmegesetz unterstellt schwersten
Protocol_1905_03_31_01;komitee;handlungen strafrichter gelangen humanitaer-wissenschaftlichen komitee – rechnung luft gebaut – deutschland 1
Protocol_1905_03_31_01;komitee;untersuchung entlassen beispiel monatsberichte wissenschaftlichhumanitaeren komitees grosser sorgfalt verhandlungen bekannt zusammentraegt
Protocol_1905_03_31_01;komitee;testaments verstorbenen polizeidirektors meerscheidthuellessem wissenschaftlichhumanitaere komitee verhindert reichen erfahrungen verstorbene polizeidirektor
Protocol_1905_03_31_01;komitee;wesentlichen einschraenkung testamentarisch aufschriften wissenschaftlichhumanitaeren komitee vermacht aushaendigung testaments verhindert wissenschaftlichhumanitaere
Protocol_1905_03_31_01;komitee;komitee besitz testamentarisch vermachten gabe aushaendigung
Protocol_1905_03_31_01;komitee;fassung strafbar scheuen oeffentlichkeit wissenschaftlichhumanitaeren komitee material liefern schlimm aussehen ziehe
Protocol_1905_03_31_01;komitee;aeussern reichskanzler petition wissenschaftlich humanitaeren komitees zugegangen material akten bearbeitung neuen
Protocol_1905_03_31_01;komitee;strafgesetzes aufgespeichert reichskanzler humanitaeren komitee weite entgegengekommen petitionskommission reichstages petitionskommission
Protocol_1905_03_31_01;komitee;ersuche antrage zuzustimmen petition humanitaerwissenschaftlichen komitees aufhebung paragraf 175 strafgesetzbuchs reichskanzler
Protocol_1905_03_31_01;175;gefoerdert abstimmung petition abaenderung paragraf 175 kommission abstimmungen vornehmen petition beruecksichtigung
Protocol_1905_03_31_01;175;grossen ungerechtigkeiten fuehren aufrechterhaltung 8 175 bereits herbeigefuehrt 8 175 aenderung
Protocol_1905_03_31_01;175;vollzogen wird vollstaendige aufhebung paragraf 175 vollstaendige straffreiheit homosexuelle handlungen gefordert
Protocol_1905_03_31_01;175;gerechtigkeit menschlichkeit jetzige fassung 8 175 reichsstrafgesetzbuchs unvereinbar fortgeschrittenen wissenschaftlichen erkenntnis
Protocol_1905_03_31_01;175;betrachten gruende anerkennt ergebnis gelangen 8175 jetzigen fassung ungerechtigkeit widerspruch darstellt
Protocol_1905_03_31_01;175;beseitigt kommission beseitigung einschraenkung 8 175 alle laster frei walten gemachten
Protocol_1905_03_31_01;175;maennern strafbarkeit unterliegt meineherren paragraf 175 – form vorliegt – 35 jahren strafgesetz
Protocol_1905_03_31_01;175;durchzulesen kommission garnicht plenum paragraf 175 debatte laengere debatte entstanden beweis
Protocol_1905_03_31_01;175;176 166 – gotteslaesterung – tagelang debattiert 175 plenum stillschweigend hinweggegangen alten preussischen
Protocol_1905_03_31_01;175;bemerkbar kommissionsbericht schrecken droht ss 175 gewuenschte einschraenkung angedeihen wahr beseitigung
Protocol_1905_03_31_01;175;gefahr laufen persoenliche schuld naturanlage 175 strafrichter gezogen sehr empfindlich bestraft
Protocol_1905_03_31_01;175;wissen strafgesetz paragraf 175 gefaengnisstrafe erkennt aberkennung buergerlichen ehrenrechte
Protocol_1905_03_31_01;175;zustand 1 million menschen paragraf 175 strafe bedrohen persoenliches verschulden beigemessen
Protocol_1905_03_31_01;175;untersuchung prozentsatz homosexuellen – mitgeteilt paragraf 175 reichsstrafgesetzbuchs widernatuerlicher unzucht deutschland bestraft
Protocol_1905_03_31_01;175;unterschiede wiederholt bestrafung gelangenden faelle 175 diejenigen persoenliches verschulden homosexuellen handlungen
Protocol_1905_03_31_01;175;einzelnen oberlandesgerichtsbezirke verurteilungen vergehens ss 175 verteilen verzeichnis vorlesen vorhin hervorhob
Protocol_1905_03_31_01;175;prozesse haengt anstrengung prozessen tz 175 zufaellen – grossstaedten prozesse ursachen anhaengig
Protocol_1905_03_31_01;175;welch ausserordentliches elend gerichtsverhandlungen tz 175 notwendig macht einzelne familien hoffentlich
Protocol_1905_03_31_01;175;gelingt ungluecklichen z175 befreien ausnahmen gerechterweise zugestanden ungluecklichen
Protocol_1905_03_31_01;175;vergnuegen ergreife gelegenheit bett umaenderung 175 mitzuwirken bedenklichkeit prozess erwachsenen schuelers
Protocol_1905_03_31_01;175;bevoelkerung altersstufen geschlechtern berufsarten paragraf 175 gesellschaftlich hochstehenden kreise leiden bestraft
Protocol_1905_03_31_01;175;polizeidirektor aktenmaterial zusammengestellt aufhebung paragraf 175 wesentlichen einschraenkung testamentarisch aufschriften wissenschaftlichhumanitaeren
Protocol_1905_03_31_01;175;homosexuelle neigungen homosexuell betaetigen paragraf 175 strafgesetzbuchs jetzigen fassung strafbar scheuen
Protocol_1905_03_31_01;175;find jetzigen nichtszustande jetzigen fassung paragraph175 schwer leiden aufzutreten weiss ungerecht
Protocol_1905_03_31_01;175;bestraft wofuer mensch verantwortlich paragraf 175 neue strafgesetz erlassen jetzigen fassung
Protocol_1905_03_31_01;175;betaetigung geschlechtslebens anormales recht paragraf 175 jetzigen fassung aufrecht erhalten paragraf
