id;noun;count
Protocol_1897_04_05_01;prinzipal;4
Protocol_1897_04_05_01;lebenswandel;3
Protocol_1897_04_05_01;verdacht;2
Protocol_1897_04_05_01;menschen;2
Protocol_1897_04_05_01;familie;1
Protocol_1897_04_05_01;familienverkehr;1
Protocol_1897_04_05_01;lebenswandels;1
Protocol_1897_04_05_01;mensch;1
Protocol_1897_04_05_01;lastern;1
Protocol_1897_04_05_01;reputation;1
Protocol_1898_01_13_01;polizei;4
Protocol_1898_01_13_01;paragraf;3
Protocol_1898_01_13_01;bestimmung;3
Protocol_1898_01_13_01;verbrechen;3
Protocol_1898_01_13_01;personen;3
Protocol_1898_01_13_01;skandal;3
Protocol_1898_01_13_01;eingang;2
Protocol_1898_01_13_01;schuldigkeit;2
Protocol_1898_01_13_01;gebiete;2
Protocol_1898_01_13_01;strafgesetz;2
Protocol_1898_01_19_01;verbrechen;4
Protocol_1898_01_19_01;bebel;3
Protocol_1898_01_19_01;polizei;2
Protocol_1898_01_19_01;praxis;2
Protocol_1898_01_19_01;petition;2
Protocol_1898_01_19_01;lastern;2
Protocol_1898_01_19_01;abgeordnete;1
Protocol_1898_01_19_01;strafgesetzbuchs;1
Protocol_1898_01_19_01;unzucht;1
Protocol_1898_01_19_01;registriren;1
Protocol_1899_03_09_01;petitionen;2
Protocol_1899_03_09_01;paragraf;2
Protocol_1899_03_09_01;personen;2
Protocol_1899_03_09_01;veranlagung;2
Protocol_1899_03_09_01;paragrafen;2
Protocol_1899_03_09_01;jahren;1
Protocol_1899_03_09_01;zwischenraeumen;1
Protocol_1899_03_09_01;geschlechts;1
Protocol_1899_03_09_01;gruende;1
Protocol_1899_03_09_01;vergehungen;1
Protocol_1899_03_09_02;vorlage;5
Protocol_1899_03_09_02;wende;2
Protocol_1899_03_09_02;zusammenhanges;2
Protocol_1899_03_09_02;paragraphparagraph;2
Protocol_1899_03_09_02;vorredner;1
Protocol_1899_03_09_02;bemerkung;1
Protocol_1899_03_09_02;ausdruck;1
Protocol_1899_03_09_02;strafe;1
Protocol_1899_03_09_02;laesst;1
Protocol_1899_03_09_02;standpunkt;1
Protocol_1901_02_21_01;kommission;6
Protocol_1901_02_21_01;tagesordnung;5
Protocol_1901_02_21_01;eroerterung;4
Protocol_1901_02_21_01;petitionskommission;3
Protocol_1901_02_21_01;petition;3
Protocol_1901_02_21_01;mitgliedern;3
Protocol_1901_02_21_01;sitzung;3
Protocol_1901_02_21_01;antrage;2
Protocol_1901_02_21_01;reichstag;2
Protocol_1901_02_21_01;nr;2
Protocol_1903_01_21_01;welt;1
Protocol_1903_01_21_01;juden;1
Protocol_1903_01_21_01;genossen;1
Protocol_1903_01_21_01;grundstuecke;1
Protocol_1903_01_21_01;bellevuestrasse;1
Protocol_1903_01_21_01;recht;1
Protocol_1903_01_21_01;unterhaendler;1
Protocol_1903_01_21_01;provisionen;1
Protocol_1903_01_21_01;terrain;1
Protocol_1903_01_21_01;tempelhofer;1
Protocol_1904_06_11_01;gegenstand;1
Protocol_1904_06_11_01;aenderung;1
Protocol_1904_06_11_01;paragraf;1
Protocol_1904_06_11_01;strafgesetzbuchs;1
Protocol_1904_06_11_01;nr;1
Protocol_1904_06_11_01;abgeordnete;1
Protocol_1904_06_11_01;kommission;1
Protocol_1904_06_11_01;uebergang;1
Protocol_1904_06_11_01;tagesordnung;1
Protocol_1904_06_11_01;geschaeftsordnung;1
Protocol_1904_06_11_02;beantrage;1
Protocol_1904_06_11_02;punkt;1
Protocol_1904_06_11_02;tagesordnung;1
Protocol_1904_06_11_03;widerspruch;1
Protocol_1904_06_11_03;nehme;1
Protocol_1904_06_11_03;reichstag;1
Protocol_1905_03_30_01;weibern;2
Protocol_1905_03_30_01;amtsanwalt;2
Protocol_1905_03_30_01;misstrauen;1
Protocol_1905_03_30_01;privatklaeger;1
Protocol_1905_03_30_01;erfahrungen;1
Protocol_1905_03_30_01;mietern;1
Protocol_1905_03_30_01;schluss;1
Protocol_1905_03_30_01;veranlagung;1
Protocol_1905_03_30_01;verwundern;1
Protocol_1905_03_30_01;besuchen;1
Protocol_1905_03_31_01;handlungen;27
Protocol_1905_03_31_01;petition;19
Protocol_1905_03_31_01;personen;17
Protocol_1905_03_31_01;jahren;15
Protocol_1905_03_31_01;menschen;12
Protocol_1905_03_31_01;prozent;12
Protocol_1905_03_31_01;paragraf;10
Protocol_1905_03_31_01;kommission;9
Protocol_1905_03_31_01;komitee;9
Protocol_1905_03_31_01;jahre;9
Protocol_1905_03_31_02;thiele;15
Protocol_1905_03_31_02;wissenschaft;10
Protocol_1905_03_31_02;petition;9
Protocol_1905_03_31_02;anschauung;8
Protocol_1905_03_31_02;geschichte;6
Protocol_1905_03_31_02;komitee;6
Protocol_1905_03_31_02;erscheinung;6
Protocol_1905_03_31_02;ulrichs;6
Protocol_1905_03_31_02;schriften;6
Protocol_1905_03_31_02;menschen;6
Protocol_1905_03_31_03;welt;4
Protocol_1905_03_31_03;thiele;2
Protocol_1905_03_31_03;reichstag;2
Protocol_1905_03_31_03;verdaechtigungen;2
Protocol_1905_03_31_03;familie;2
Protocol_1905_03_31_03;prozess;2
Protocol_1905_03_31_03;herr;1
Protocol_1905_03_31_03;abgeordnete;1
Protocol_1905_03_31_03;jahren;1
Protocol_1905_03_31_03;faellen;1
Protocol_1905_03_31_04;neigungen;5
Protocol_1905_03_31_04;agitation;5
Protocol_1905_03_31_04;petition;4
Protocol_1905_03_31_04;petenten;4
Protocol_1905_03_31_04;paragraf;3
Protocol_1905_03_31_04;faelle;2
Protocol_1905_03_31_04;mehrzahl;2
Protocol_1905_03_31_04;grade;2
Protocol_1905_03_31_04;bekaempfung;2
Protocol_1905_03_31_04;laesst;1
Protocol_1905_03_31_05;petition;5
Protocol_1905_03_31_05;arzte;4
Protocol_1905_03_31_05;laster;4
Protocol_1905_03_31_05;schaedigung;4
Protocol_1905_03_31_05;weise;3
Protocol_1905_03_31_05;mut;3
Protocol_1905_03_31_05;kollege;3
Protocol_1905_03_31_05;veranlagung;3
