id;year;political_orientation;sentiment_per_speech;sentiment_per_context
Protokolle_1897_04_05_01;1897;linksliberal;-0.141752632;-0.372866667
Protokolle_1898_01_13_01;1898;sozialdemokratisch;-0.0571625;-0.146846154
Protokolle_1898_01_19_01;1898;konservativ;-0.098873684;-0.3064
Protokolle_1899_03_09_01;1899;konservativ;-0.105321739;-0.33322
Protokolle_1899_03_09_02;1899;nationalliberal;-0.0962;0.004
;1900;;0;0
Protokolle_1901_02_21_01;1901;politischer Katholizismus;-0.033740909;0
;1902;;0;0
Protokolle_1903_01_21_01;1903;antisemitisch;0.19004;0.4983
Protokolle_1904_06_11_01;1904;konservativ;0.2267;0
Protokolle_1904_06_11_02;1904;politischer Katholizismus;0;0
Protokolle_1904_06_11_03;1904;konservativ;-0.18075;0
Protokolle_1905_03_30_01;1905;antisemitisch;-0.142768421;0
Protokolle_1905_03_31_01;1905;sozialdemokratisch;-0.100372464;-0.075411558
Protokolle_1905_03_31_02;1905;politischer Katholizismus;-0.071676276;-0.094593458
Protokolle_1905_03_31_03;1905;konservativ;-0.088885185;0.004
Protokolle_1905_03_31_04;1905;antisemitisch;-0.113559259;-0.12266
Protokolle_1905_03_31_05;1905;linksliberal;-0.046035616;-0.0336
Protokolle_1905_03_31_06;1905;sozialdemokratisch;-0.067544;-0.0566
Protokolle_1905_03_31_07;1905;sozialdemokratisch;-0.075934351;-0.110983824
Protokolle_1905_03_31_08;1905;politischer Katholizismus;-0.038108421;-0.063765
Protokolle_1905_03_31_09;1905;konservativ;-0.019041176;0
Protokolle_1905_03_31_10;1905;sozialdemokratisch;0.01275;0.019438462
Protokolle_1905_03_31_11;1905;politischer Katholizismus;0.094166667;0.24675
Protokolle_1905_05_12_01;1905;sozialdemokratisch;-0.028195652;-0.1512
Protokolle_1906_03_03_01;1906;antisemitisch;-0.099138462;0.0711
Protokolle_1907_03_02_01;1907;politischer Katholizismus;0.042657143;-0.02305
Protokolle_1907_11_28_01;1907;k.A.;-0.106386207;-0.103105882
Protokolle_1907_11_28_02;1907;konservativ;-0.044905882;-0.0492
Protokolle_1907_11_28_03;1907;politischer Katholizismus;-0.068832727;-0.02206
Protokolle_1907_11_28_04;1907;nationalliberal;-0.081298876;-0.151786667
Protokolle_1907_11_28_05;1907;politischer Katholizismus;-0.050747619;-0.23356
Protokolle_1907_11_29_01;1907;sozialdemokratisch;-0.015046508;-0.023752083
Protokolle_1907_11_29_02;1907;k.A.;-0.07178156;-0.058029333
Protokolle_1907_11_29_03;1907;k.A.;-0.017345946;-0.204291667
Protokolle_1907_11_30_01;1907;linksliberal;-0.090986;-0.008825
Protokolle_1907_11_30_02;1907;antisemitisch;-0.016116;-0.037093548
