;id;year;keyword;context;speech_sentiment;n_of_lexicon_words;n_of_countable_words
0;Protocol_1897_04_05_01;1897;widernat;verdacht erweckt unsittlicher mensch meinetwegen widernatuerlichen lastern hingiebt reputation angestellten lange;-1.1186;0;3
1;Protocol_1898_01_13_01;1898;175;ich insbesondere eingang bestimmungen paragraf 175 – handelt widernatuerlichen unzucht – auge nothwendig;-0.3064;0;1
2;Protocol_1898_01_13_01;1898;175;verfuegung vorzulegen pruefung bestimmung paragraf 175 eingangs aufrecht erhalten duerfen aufrecht;0.012;0;3
3;Protocol_1898_01_13_01;1898;175;quelle bekannt polizei maennern paragraf 175 zuchthaus bedrohte verbrechen begehen erfahrung;-0.3328;0;3
4;Protocol_1898_01_13_01;1898;175;preussische staat gezwungen verbrechen paragraf 175 berlin begangen suehnen neue gefaengnissanstalten;-0.4935;0;2
5;Protocol_1898_01_13_01;1898;175;gesellschaftskreisen entsteht bestimmung eingang paragraf 175 maenner frauen auszudehnen verbrechen begangen;0;0;0
6;Protocol_1898_01_13_01;1898;175;verbrechen paragraf bestraft behandelt paragraf 175 strafgesetz gehandhabt strafgesetz gruenden punkte;-0.4811;0;1
7;Protocol_1898_01_13_01;1898;175;sinne einzutreten beseitigung bestimmung paragraf 175 herbeigefuehrt;-0.0008;0;2
8;Protocol_1898_01_13_01;1898;widernat;eingang bestimmungen paragraf 175 – handelt widernatuerlichen unzucht – auge nothwendig kommission gewaehlt;-0.3064;0;1
9;Protocol_1898_01_19_01;1898;175;der abgeordnete bebel neulich paragraf 175 strafgesetzbuchs widernatuerlichen unzucht handelt polizei;-0.3064;0;1
10;Protocol_1898_01_19_01;1898;widernat;bebel neulich paragraf 175 strafgesetzbuchs widernatuerlichen unzucht handelt polizei verfolge praxis;-0.3064;0;1
11;Protocol_1899_03_09_01;1899;175;zwischenraeumen petitionen zugegangen bezwecken paragraf 175 aufzuheben widernatuerliche unzucht personen maennlichen;-0.3064;0;1
12;Protocol_1899_03_09_01;1899;175;krankhafter geistiger stoerung verbrechen – paragraf 175 – begangen zweifellos genuegen einzelnen falle;-0.5722;0;2
13;Protocol_1899_03_09_01;1899;widernat;zugegangen bezwecken paragraf 175 aufzuheben widernatuerliche unzucht personen maennlichen geschlechts bestraft;-0.7875;0;2
14;Protocol_1899_03_09_02;1899;sexu;meine wende vorredner bemerkung paragrafen homosexualitaet – ausdruck gebrauchen – strafe gesetzt wissen;0.004;0;1
;;1900;;;0;0;0
15;Protocol_1901_02_21_01;1901;komitee;lautet reichstag beschliessen petition wissenschaftlichhumanitaeren komitees (abaenderung tz 175 strafgesetzbuchs – petitionsverzeichniss;0;0;0
16;Protocol_1901_02_21_01;1901;175;petition wissenschaftlichhumanitaeren komitees (abaenderung tz 175 strafgesetzbuchs – petitionsverzeichniss 161) berathung plenum;0;0;0
;;1902;;;0;0;0
17;Protocol_1903_01_21_01;1903;hirschfeld;wozu welt juden hirschfeld genossen neugebauten grundstuecke bellevuestrasse abkaufen;0.4983;0;1
18;Protocol_1904_06_11_01;1904;175;k) 19 betreffend aenderung paragraf 175 strafgesetzbuchs (nr 407 drucksachen) berichterstatter;0;0;0
19;Protocol_1905_03_30_01;1905;sexu;mietern ungewoehnlich erschien schluss anormale sexuelle veranlagung berechtigt erscheinen liess verwundern;0;0;0
20;Protocol_1905_03_31_01;1905;sexu;angelegenheit beruehrt moechte naturwissenschaftliche physiologische homosexualitaet bisexualitaet breitere oeffentliche eroerterung gerueckt;0.345;0;1
21;Protocol_1905_03_31_01;1905;sexu;ausserordentlich harten worten diejenigen beurteilt homosexuelle handlungen begehen indirekt diejenigen homosexuellen;-0.0346;0;2
22;Protocol_1905_03_31_01;1905;sexu;empfindungen dingen schweigen gemuetsleben gemuetserregungen homosexuell veranlagten homosexuell handelnden hineindenken strafgesetzbuch;0;0;0
23;Protocol_1905_03_31_01;1905;sexu;kollege thaler kommissionsbericht theorie unverantwortlichkeit kontraersexuellen beruhe groesstenteils voelligen ignorierung willensfreiheit;-0.3068;0;1
24;Protocol_1905_03_31_01;1905;sexu;aufhebung paragraf 175 vollstaendige straffreiheit homosexuelle handlungen gefordert beschraenkung gewuenscht bestrafung;-0.3534;0;5
25;Protocol_1905_03_31_01;1905;sexu;sprachgebiet 20 jahre sehr eingehend homosexualitaet beschaeftigte ausnahmslos bestaetigt bereits gelehrten;0.0854;0;1
26;Protocol_1905_03_31_01;1905;sexu;paragrafen moeglichst abzuaendern obengenannten laendern sexuelle akte personen geschlechts personen verschiedenen;0;0;0
27;Protocol_1905_03_31_01;1905;sexu;freien walten laster einschraenkung strafbarkeit homosexuellen handlungen gerechtigkeit gefordert weiblichen geschlecht;-0.2008;0;2
28;Protocol_1905_03_31_01;1905;sexu;bereits zugestanden ist allgemeinen bekannt homosexueller verkehr frauen heutigen strafgesetz strafbar;-0.3428;0;2
29;Protocol_1905_03_31_01;1905;sexu;homosexuelle verkehr maennern strafbarkeit unterliegt meineherren;-0.0048;0;1
30;Protocol_1905_03_31_01;1905;sexu;sicherheit anschwellen neigungen erwarten neigung homosexuellen geschlechtsverkehr ueben allerseltensten faellen – beweisen;0.004;0;1
31;Protocol_1905_03_31_01;1905;sexu;ungluecklichen menschen fuehren naturwissenschaft neuerdings homosexualitaet stellung sehr einfach wissenschaft erkannt;-0.293;0;3
32;Protocol_1905_03_31_01;1905;sexu;komitees grossem nachdruck grade physiologische homosexuellen fortgesetzt oeffentliche debatte geworfen mag;0.7144;0;2
33;Protocol_1905_03_31_01;1905;sexu;konstruieren person anzuerkennen gewillt mag homosexuellen wahren ideale geistig tuechtigsten hinstellt;0.6563;0;3
34;Protocol_1905_03_31_01;1905;sexu;karte empfing zeichen buchstaben mitteilen homosexuell normalsexuell bisexuell brauchte name angegeben;0;0;0
