;Unnamed: 0;id;type;legislative_period;session;volume_pdf;volume_protocol;session_number;date;year;speaker;title_toc;search_term;pp;homosexuality_main;political_orientation;party;position;denomination;origin_city;origin_region;constituency;profession;professional_group;comment;speech_sentiment;n_of_lexicon_words;n_of_countable_words
0;0;Protokolle_1897_04_05_01;Sitzung;IX;IV;7;149;206;05. April 1897;1897;Julius Lenzmann;Zweite Berathung des Entwurfs eines Handelsgesetzbuchs nebst Einfuehrungsgesetz (Nr. 632, Zu 632, 735, ad 735 der Anlagen) - paragraphparagraph 70, 71 Kuendigung ohne Kuendigungsfrist;widernat*;5522–5524;0;linksliberal;Deutsche Freisinnige Volkspartei;Abgeordneter;evangelisch;Hagen;Westfalen;3 Arnsberg;"Rechtsanwalt; Notar";Jurist;hier S. 5523f.;-2.6933;0;19
1;1;Protokolle_1898_01_13_01;Sitzung;IX;V;1;159;16;13. Januar 1898;1898;August Bebel;Erste Berathung des von den Abgeordneten Prinz von Arenberg, Groeber, Letocha, Dr. Rintelen, Dr. Spahn, Dr. Stephan eingebrachten Entwurfs eines Gesetzes, betreffend Aenderung und Ergaenzung des Strafgesetzbuchs (Nr. 35 der Anlagen);"widernat*; paragraph175";410–418;0;sozialdemokratisch;SPD;Abgeordneter;Dissident;Koeln;Rheinprovinz;8 Elsass-Lothringen;"Drechslermeister; Schriftsteller";Autor/Journalist;hier S. 410;-1.8292;0;32
2;2;Protokolle_1898_01_19_01;Sitzung;IX;V;1;159;20;19. Januar 1898;1898;Martin Schall ;Fortsetzung und Schluss der ersten Berathung des von den Abgeordneten Prinz von Arenberg, Groeber, Letocha, Dr. Rintelen, Dr. Spahn, Dr. Stephan eingebrachten Entwurfs eines Gesetzes, betreffend Aenderung und Ergaenzung des Strafgesetzbuchs (Nr. 35 der Anlagen);"widernat*; paragraph175";516–519;0;konservativ;Deutschkonservative Partei;Abgeordneter;evangelisch;Schlaupitz;Provinz Schlesien;7 Potsdam;Prediger;Geistlicher;hier S. 516f.;-1.8786;0;19
3;3;Protokolle_1899_03_09_01;Sitzung;X;I;2;166;52;09. Maerz 1899;1899;Ernst Himburg;Erste Berathung des Entwurfs eines Gesetzes, betreffend Aenderungen und Ergaenzungen des Strafgesetzbuchs (Nr. 112 der Anlagen), in Verbindung mit a) der ersten Berathung des von den Abgeordneten Prinz von Arenberg, Groeber, Letocha, Dr. Rintelen, Roeren, Dr. Spahn, Dr. Stephan eingebrachten Entwurfs eines Gesetzes, betreffend Aenderungen und Ergaenzungen des Strafgesetzbuchs (Nr. 31 der Anlagen) und d) der Berathung des Antrages Freiherr von StummHalberg wegen Verschaerfung derjenigen Strafen, welche fuer Sittlichkeitsverbrechen, insbesondere fuer die gegen Kinder gerichteten, vorgesehen sind (Nr. 124 der Anlage);"paragraph175; widernat*";1414–1415;0;konservativ;Deutschkonservative Partei;Abgeordneter;evangelisch;Hohengoehren;Provinz Sachsen;2 Magdeburg;"Amtsgerichtsrat; Rittergutsbesitzer; Prem.-Leutnant a.D. zu Osterburg";Jurist;hier S. 1415;-2.4224;0;23
4;4;Protokolle_1899_03_09_02;Sitzung;X;I;2;166;52;09. Maerz 1899;1899;Dr. med. Friedrich Karl Endemann;Erste Berathung des Entwurfs eines Gesetzes, betreffend Aenderungen und Ergaenzungen des Strafgesetzbuchs (Nr. 112 der Anlagen), in Verbindung mit a) der ersten Berathung des von den Abgeordneten Prinz von Arenberg, Groeber, Letocha, Dr. Rintelen, Roeren, Dr. Spahn, Dr. Stephan eingebrachten Entwurfs eines Gesetzes, betreffend Aenderungen und Ergaenzungen des Strafgesetzbuchs (Nr. 31 der Anlagen) und d) der Berathung des Antrages Freiherr von StummHalberg wegen Verschaerfung derjenigen Strafen, welche fuer Sittlichkeitsverbrechen, insbesondere fuer die gegen Kinder gerichteten, vorgesehen sind (Nr. 124 der Anlage);*sexu*;1415–1417;0;nationalliberal;Nationalliberale Partei;Abgeordneter;evangelisch;Kassel;Provinz Hessen-Nassau;2 Kassel;"Sanitaetsrat; Arzt; Vizebuergermeister (Kassel)";Mediziner;hier S. 1415;-1.1544;0;12
5;5;;;;;;;;;1900;.;.;.;.;;;;;;;;;;;;0;0;0
6;6;Protokolle_1901_02_21_01;Sitzung;X;II;2;180;54;21.02.1901;1901;Graf Franz von Ballestrem;Petitionen, welche zur Eroerterung im Plenum nicht als geeignet erachtet werden (Nr. 128 der Anlagen);"*wissenschaftlich humanitaer*; paragraph175";1506;1;politischer Katholizismus;Zentrum;Praesident;katholisch;Plawniowitz;Provinz Schlesien;4 Oppeln;"Majoratsherr; Major a.D.";Militaer;;-0.7423;0;22
7;7;;;;;;;;;1902;.;.;.;.;;;;;;;;;;;;0;0;0
8;8;Protokolle_1903_01_21_01;Sitzung;X;II;8;186;243;21.01.1903;1903;Max Hugo Liebermann von Sonnenberg;Fortsetzung der ersten Berathung des Entwurfs eines Gesetzes, betreffend die Feststellung des Reichshaushalts-Etats fuer das Rechnungsjahr 1903, in Verbindung mit der ersten Berathung der Entwuerfe a) eines Gesetzes, betreffend die Feststellung des Haushalts-Etats fuer die Schutzgebiete auf das Rechnungsjahr 1903, b) eines Gesetzes, betreffend Verwendung der Mehrertraege der Ueberweisungssteuern zur Schuldentilgung (Nr. 798, 799, 803 der Anlagen);hirschfeld;7458–7463;0;antisemitisch;Deutschsoziale Reformpartei;Abgeordneter;evangelisch;Weisswasser;Provinz Westpreussen;3 Kassel;"Premierlieutnant a. D.; Herausgeber und Eigentuemer der Wochenschrift ""Deutsch-soziale Blaetter"" zu Gr.-Lichterfelde";Militaer;hier S. 7460f.;0.9502;0;5
9;9;Protokolle_1904_06_11_01;Sitzung;XI;I;4;200;96;11.06.1904;1904;Dr. jur. Udo Graf zu Stolberg-Werningerode;"Beratung von Berichten der Petitionskommission -- Der 6., 9. und 19. Bericht (Nr. 307,
310 und 407 der Anlagen) werden
von der Tagesordnung abgesetzt";paragraph175;3111;0;konservativ;Deutschkonservative Partei;Vizepraesident;evangelisch;Berlin;Provinz Brandenburg;6 Gumbinnen;"Wirklicher Geheimer Rat; Oberpraesident z. D.; Generalmajor à la suite der Armee; Besitzer der Fideikommisse Kreppelhof in Schlesien und Doenhoffstaedt in Ostpreussen sowie des Rittergutes Cammin in der Neumark";Verwalter/Beamter;;0.2267;0;1
