matched_form;category;count
ksolloxatliia sexualis;OCR-error;1
raiiollc sexus;OCR-error;1
kscllopatllia sexualis;OCR-error;1
Bisexualität;varieties of 'bisexuality';1
bisexuell;varieties of 'bisexuality';1
Kontrasexualen;varieties of 'contrary sexual feeling';1
Kontrasexualität;varieties of 'contrary sexual feeling';3
Konträrsexuellen;varieties of 'contrary sexual feeling';3
Konträrsexuelle;varieties of 'contrary sexual feeling';2
konträrsexueller;varieties of 'contrary sexual feeling';1
konträren Sexualempfindung;varieties of 'contrary sexual feeling';1
konträrer Sexualität;varieties of 'contrary sexual feeling';1
konträre Sexualempfindung;varieties of 'contrary sexual feeling';4
Konträrsexuale;varieties of 'contrary sexual feeling';1
konträrsexual;varieties of 'contrary sexual feeling';1
heterosexueller;varieties of 'heterosexuality';1
heterosexuell;varieties of 'heterosexuality';1
heterosexuelle;varieties of 'heterosexuality';2
Homosexualität;varieties of 'homosexuality';35
homosexuelle;varieties of 'homosexuality';15
homosexuell;varieties of 'homosexuality';19
homosexuellen;varieties of 'homosexuality';19
homosexueller;varieties of 'homosexuality';5
Homosexuellen;varieties of 'homosexuality';11
homosexuale;varieties of 'homosexuality';1
normalsexuell;varieties of 'sexual';1
Normalsexuellen;varieties of 'sexual';1
normal sexuell;varieties of 'sexual';1
abnorme sexuelle;varieties of 'sexual';1
anormale sexuelle;varieties of 'sexual';1
sexuelle;varieties of 'sexual';4
sexuellen;varieties of 'sexual';1
sexuelle Zwischenstufen;varieties of 'sexual';1
Anomalie der sexuellen;varieties of 'sexual';1
sexuell;varieties of 'sexual';1
Sexualleben;varieties of 'sexual';1
