;value;words
0;-0.058;abbau
0;-0.058;abbaus
0;-0.058;abbaues
0;-0.058;abbauen
0;-0.058;abbaue
0;-0.058;abbauten
0;-0.0048;abbruch
0;-0.0048;abbruches
0;-0.0048;abbrueche
0;-0.0048;abbruchs
0;-0.0048;abbruechen
0;-0.0048;abbruche
0;-0.0048;abdankung
0;-0.0048;abdankungen
0;-0.0048;abdaempfung
0;-0.0048;abdaempfungen
0;-0.0048;abfall
0;-0.0048;abfalles
0;-0.0048;abfaelle
0;-0.0048;abfalls
0;-0.0048;abfaellen
0;-0.0048;abfalle
0;-0.3367;abfuhr
0;-0.3367;abfuhren
0;-0.3465;abgrund
0;-0.3465;abgruende
0;-0.3465;abgrunde
0;-0.3465;abgrundes
0;-0.3465;abgrunds
0;-0.3465;abgruenden
0;-0.3653;abhaengigkeit
0;-0.3653;abhaengigkeiten
0;-0.5118;ablehnung
0;-0.5118;ablehnungen
0;-0.0435;ablenkung
0;-0.0435;ablenkungen
0;-0.0048;abnahme
0;-0.0048;abnahmen
0;-0.0048;abneigung
0;-0.0048;abneigungen
0;-0.0048;abnutzung
0;-0.0048;abnutzungen
0;-0.0048;abriss
0;-0.0048;abrisse
0;-0.0048;abrissen
0;-0.0048;abrisses
0;-0.0048;abrutsch
0;-0.0048;abrutschen
0;-0.0048;abrutsche
0;-0.0048;abrutsches
0;-0.0048;abrutschs
0;-0.058;abschaffung
0;-0.058;abschaffungen
0;-0.0048;abschreckung
0;-0.0048;abschreckungen
0;-0.3345;abschreibung
0;-0.3345;abschreibungen
0;-0.0048;abschuss
0;-0.0048;abschuesse
0;-0.0048;abschusses
0;-0.0048;abschuessen
0;-0.0048;abschuss
0;-0.0048;abschuesse
0;-0.0048;abschusse
0;-0.0048;abschusses
0;-0.0048;abschuessen
0;-0.1935;abschwaechung
0;-0.1935;abschwaechungen
0;-0.3434;absenkung
0;-0.3434;absenkungen
0;-0.0048;abspaltung
0;-0.0048;abspaltungen
0;-0.0048;absperrung
0;-0.0048;absperrungen
0;-0.3215;abstieg
0;-0.3215;abstiegs
0;-0.3215;abstiege
0;-0.3215;abstiegen
0;-0.3215;abstieges
0;-0.0048;abstoss
0;-0.0048;abstoessen
0;-0.0048;abstoesse
0;-0.0048;abstosse
0;-0.0048;abstosses
0;-0.3201;abstrich
0;-0.3201;abstrichen
0;-0.3201;abstrichs
0;-0.3201;abstriches
0;-0.3201;abstriche
0;-0.0048;abstumpfung
0;-0.0048;abstumpfungen
0;-0.4739;absturz
0;-0.4739;abstuerzen
0;-0.4739;absturze
0;-0.4739;absturzes
0;-0.4739;abstuerze
0;-0.0048;absurditaet
0;-0.0048;absurditaeten
0;-0.3462;abweichung
0;-0.3462;abweichungen
0;-0.0048;abweisung
0;-0.0048;abweisungen
0;-0.3283;abwertung
0;-0.3283;abwertungen
0;-0.1941;abwaertstrend
0;-0.1941;abwaertstrends
0;-0.0048;abzocke
0;-0.0048;abzocken
0;-0.0048;achtlosigkeit
0;-0.0048;achtlosigkeiten
0;-0.1794;affaere
0;-0.1794;affaeren
0;-0.4889;aggression
0;-0.4889;aggressionen
0;-0.1958;aggressivitaet
0;-0.1958;aggressivitaeten
0;-0.3155;aggressor
0;-0.3155;aggressoren
0;-0.3155;aggressors
0;-0.0048;agitation
0;-0.0048;agitationen
0;-0.0048;alarm
0;-0.0048;alarme
0;-0.0048;alarms
0;-0.0048;alarmen
0;-0.0048;alarmes
0;-0.0048;alptraum
0;-0.0048;alptraeume
0;-0.0048;alptraeumen
0;-0.0048;alptraums
0;-0.0048;alptraumes
0;-0.0048;alptraume
0;-0.0048;albtraum
0;-0.0048;albtraeume
0;-0.0048;albtraeumen
0;-0.0048;albtraums
0;-0.0048;albtraumes
0;-0.0048;albtraume
0;-0.0048;amateur
0;-0.0048;amateuren
0;-0.0048;amateure
0;-0.0048;amateurs
0;-0.3266;ambivalenz
0;-0.3266;ambivalenzen
0;-0.0048;androhung
0;-0.0048;androhungen
0;-0.0048;anfaelligkeit
0;-0.0048;anfaelligkeiten
0;-0.0048;angreifer
0;-0.0048;angreifers
0;-0.0048;angreifern
0;-0.212;angriff
0;-0.212;angriffe
0;-0.212;angriffen
0;-0.212;angriffs
0;-0.212;angriffes
0;-0.514;angst
0;-0.514;aengste
0;-0.514;aengsten
0;-0.3468;anklage
0;-0.3468;anklagen
0;-0.0048;anmassung
0;-0.0048;anmassungen
0;-0.0048;annullierung
0;-0.0048;annullierungen
0;-0.0048;anomalie
0;-0.0048;anomalien
0;-0.0048;anspannung
0;-0.0048;anspannungen
0;-0.0048;anstrengung
0;-0.0048;anstrengungen
0;-0.0048;antipathie
0;-0.0048;antipathien
0;-0.3549;arbeitslose
0;-0.3549;arbeitslosen
0;-0.3549;arbeitsloser
0;-0.3549;arbeitslosem
0;-0.3654;nan
0;-0.2038;nan
0;-0.3289;arroganz
0;-0.3289;arroganzen
0;-0.1901;arschloch
0;-0.1901;arschloecher
0;-0.1901;arschlochs
0;-0.1901;arschloechern
0;-0.1901;arschloches
0;-0.1901;arschloche
0;-0.47;attacke
0;-0.47;attacken
0;-0.0048;aufhebung
0;-0.0048;aufhebungen
0;-0.0048;aufloesung
0;-0.0048;aufloesungen
0;-0.0386;aufregung
0;-0.0386;aufregungen
0;-0.0048;aufruhr
0;-0.0048;aufruhre
0;-0.0048;aufruhrs
0;-0.0048;aufruhren
0;-0.0048;aufruhres
0;-0.0048;aufschrei
0;-0.0048;aufschreien
0;-0.0048;aufschreis
0;-0.0048;aufschreie
0;-0.0048;aufschreies
0;-0.0048;aufstand
0;-0.0048;aufstandes
0;-0.0048;aufstaende
0;-0.0048;aufstands
0;-0.0048;aufstaenden
0;-0.0048;aufstande
0;-0.1894;ausbeute
0;-0.1894;ausbeuten
0;-0.0048;ausbeuter
0;-0.0048;ausbeuters
0;-0.0048;ausbeutern
0;-0.0048;ausbeutung
0;-0.0048;ausbeutungen
0;-0.0048;ausbruch
0;-0.0048;ausbruchs
0;-0.0048;ausbruches
0;-0.0048;ausbrueche
0;-0.0048;ausbruechen
0;-0.0048;ausbruche
0;-0.0603;auseinandersetzung
0;-0.0603;auseinandersetzungen
0;-0.2164;ausfall
0;-0.2164;ausfaellen
0;-0.2164;ausfaelle
0;-0.2164;ausfalles
0;-0.2164;ausfalls
0;-0.2164;ausfalle
0;-0.626;ausgrenzung
0;-0.626;ausgrenzungen
0;-0.0048;ausloeschung
0;-0.0048;ausloeschungen
0;-0.0048;ausrottung
0;-0.0048;ausrottungen
0;-0.0048;ausschliessung
0;-0.0048;ausschliessungen
0;-0.0048;aussetzung
0;-0.0048;aussetzungen
0;-0.0048;banalitaet
0;-0.0048;banalitaeten
0;-0.0048;bankrott
0;-0.0048;bankrotte
0;-0.0048;bankrotts
0;-0.0048;bankrottes
0;-0.0048;bankrotten
0;-0.0048;barriere
0;-0.0048;barrieren
0;-0.0048;bedeutungslosigkeit
0;-0.0048;bedeutungslosigkeiten
0;-0.0048;bedrohung
0;-0.0048;bedrohungen
0;-0.0048;bedraengung
0;-0.0048;bedraengungen
0;-0.0435;bedrueckung
0;-0.0435;bedrueckungen
0;-0.0048;beduerftige
0;-0.0048;beduerftigen
0;-0.3472;beeintraechtigung
0;-0.3472;beeintraechtigungen
0;-0.0048;befall
0;-0.0048;befalls
0;-0.0048;befaelle
0;-0.0048;befaellen
0;-0.0048;befalles
0;-0.0048;befalle
0;-0.0048;befangenheit
0;-0.0048;befangenheiten
0;-0.4903;befuerchtung
0;-0.4903;befuerchtungen
0;-0.0048;begrenzung
0;-0.0048;begrenzungen
0;-0.3578;behinderung
0;-0.3578;behinderungen
0;-0.3711;belastung
0;-0.3711;belastungen
0;-0.3432;beleidigung
0;-0.3432;beleidigungen
0;-0.0048;belaestigung
0;-0.0048;belaestigungen
0;-0.3313;beschneidung
0;-0.3313;beschneidungen
