;stopwords;n_of_lexicon_words
0;sp;0
1;mk;0
2;a;0
3;ab;0
4;aber;0
5;abgerufen;0
6;abgerufene;0
7;abgerufener;0
8;abgerufenes;0
9;acht;0
10;alle;0
11;allein;0
12;allem;0
13;allen;0
14;aller;0
15;allerdings;0
16;allerlei;0
17;alles;0
18;allgemein;0
19;allmaehlich;0
20;allzu;0
21;als;0
22;alsbald;0
23;also;0
24;am;0
25;amp;0
26;an;0
27;ander;0
28;andere;0
29;anderem;0
30;anderen;0
31;anderer;0
32;andererseits;0
33;anderes;0
34;anderm;0
35;andern;0
36;andernfalls;0
37;anders;0
38;anfangen;0
39;anfing;0
40;angabe;0
41;angefangen;0
42;angenommen;0
43;angesetze;0
44;angesetzt;0
45;angesetzten;0
46;angesetzter;0
47;anl;0
48;anna;0
49;annahme;0
50;ansetzen;0
51;anstatt;0
52;antrag;0
53;apr;0
54;april;0
55;arbeiten;0
56;art;0
57;artikel;0
58;au;0
59;auch;0
60;auf;0
61;aufgabe;0
63;aufgrund;0
66;aufzusuchen;0
67;aug;0
68;august;0
69;aus;0
70;ausdruecken;0
71;ausdrueckt;0
72;ausdrueckte;0
73;ausgenommen;0
74;ausser;0
75;ausserdem;0
76;author;0
77;autor;0
78;außen;0
79;außer;0
80;außerdem;0
81;außerhalb;0
82;b;0
83;bald;0
84;be;0
85;bearbeite;0
86;bearbeiten;0
87;bearbeitete;0
88;bearbeiteten;0
89;bedarf;0
90;bedurfte;0
91;beduerfen;0
92;befragen;0
93;befragte;0
94;befragten;0
95;befragter;0
96;begann;0
97;beginnen;0
98;begonnen;0
99;behalten;0
100;behielt;0
101;bei;0
102;beide;0
103;beiden;0
104;beiderlei;0
105;beides;0
106;beim;0
107;beinahe;0
110;ben;0
111;benutzt;0
112;bericht;0
113;berichten;0
114;berichtet;0
115;berichtete;0
116;berichteten;0
117;bes;0
120;bestimmt;0
121;betreffenden;0
122;betreffent;0
123;bevor;0
124;bezueglich;0
125;bietet;0
127;bin;0
128;bis;0
129;bisher;0
130;bislang;0
131;bist;0
132;bk;0
133;bl;0
134;bleiben;0
135;blieb;0
136;bloss;0
137;bloß;0
138;brachte;0
139;brachten;0
140;brauchen;0
141;braucht;0
142;bringen;0
143;braeuchte;0
144;bsp.;0
145;bureau;0
146;bz;0
147;bzw;0
