ID;year;sentiment_per_speech;sentiment_per_extracted_words;count;count_out_of
Protocol_1897_04_05_01;1897;-0.141752632;-0.37286667;1;9
Protocol_1898_01_13_01;1898;-0.0571625;-0.17740625;5;10
Protocol_1898_01_19_01;1898;-0.098873684;-0.3064;4;10
Protocol_1899_03_09_01;1899;-0.105321739;-0.3208333;3;6
Protocol_1899_03_09_02;1899;-0.0962;0.004;2;7
Protocol_1901_02_21_01;1901;-0.033740909;0.24915;2;10
Protocol_1903_01_21_01;1903;0.19004;0.4983;1;2
Protocol_1904_06_11_01;1904;0.2267;0;3;6
Protocol_1905_03_30_01;1905;-0.142768421;0.004;1;6
Protocol_1905_03_31_01;1905;-0.099656627;-0.05378755;2;10
Protocol_1905_03_31_02;1905;-0.071676276;-0.08782938;1;10
Protocol_1905_03_31_03;1905;-0.088885185;0.004;2;10
Protocol_1905_03_31_04;1905;-0.113559259;-0.09083313;3;10
Protocol_1905_03_31_05;1905;-0.046035616;-0.04495;2;10
Protocol_1905_03_31_06;1905;-0.067544;0.0064;1;6
Protocol_1905_03_31_07;1905;-0.075934351;-0.12432236;3;10
Protocol_1905_03_31_08;1905;-0.038108421;-0.02487383;2;10
Protocol_1905_03_31_10;1905;0.01275;0.01980095;2;9
Protocol_1905_03_31_11;1905;0.094166667;0;3;8
Protocol_1907_11_28_01;1907;-0.109723932;-0.11218214;1;10
Protocol_1907_11_28_03;1907;-0.068832727;-0.01776667;1;10
Protocol_1907_11_28_04;1907;-0.081298876;-0.120925;3;10
Protocol_1907_11_29_02;1907;-0.070019718;-0.03877161;1;10
Protocol_1907_11_30_02;1907;-0.016116;-0.08173854;2;8
Protocol_1907_12_02_01;1907;-0.066148276;0.1745;1;9
Protocol_1907_12_02_02;1907;-0.048945455;-0.0221;1;9
Protocol_1907_12_03_03;1907;-0.009792208;0.00253333;2;9
Protocol_1907_12_03_04;1907;-0.151625;0.02005833;2;10
Protocol_1907_12_03_05;1907;-0.11341;-0.2153;3;8
Protocol_1907_12_04_01;1907;0.011336232;0.04845;1;9
Protocol_1907_12_11_01;1907;0.004998039;0.059675;4;10
Protocol_1908_01_23_01;1908;-0.13678;-0.34355;2;7
Protocol_1908_02_01_01;1908;0.075;-0.0048;2;8
Protocol_1908_02_01_02;1908;0;0;1;1
Protocol_1908_02_01_03;1908;0.0624875;0.123175;3;9
Protocol_1908_02_01_04;1908;-0.090575;0;1;6
Protocol_1908_02_01_05;1908;-0.0048;0;1;4
Protocol_1908_02_03_01;1908;-0.0810525;-0.11812778;1;10
Protocol_1908_02_05_01;1908;0.01973;0.004;2;8
Protocol_1908_02_06_02;1908;-0.1294;0.001066667;2;6
Protocol_1908_02_18_01;1908;-0.037827848;-0.00391111;4;10
Protocol_1908_02_18_02;1908;0.056392857;0.14381111;1;6
Protocol_1908_02_19_01;1908;-0.13692;0.004;2;6
Protocol_1908_02_20_01;1908;-0.073872;-0.129475;2;10
Protocol_1908_02_20_02;1908;-0.040835714;-0.03416667;2;9
Protocol_1908_02_20_03;1908;-0.1218;0.345;3;9
Protocol_1908_02_20_04;1908;-0.081843478;0.03946875;2;5
Protocol_1908_02_20_05;1908;-0.086027907;0.004;5;10
Protocol_1908_02_21_01;1908;-0.083378947;-0.025895;2;8
Protocol_1908_02_21_02;1908;-0.081909524;0.07576667;2;5
Protocol_1908_02_25_01;1908;-0.042233333;-0.0004;4;8
Protocol_1908_03_17_01;1908;0.00495;0.004;1;7
