ID;year;sentiment_per_speech;sentiment_per_extracted_words;count;count_out_of
Protocol_1907_11_28_01;1907;-0.109723932;-0.11218214;1;10
Protocol_1907_11_28_03;1907;-0.068832727;-0.01776667;1;10
Protocol_1907_11_28_04;1907;-0.081298876;-0.120925;2;10
Protocol_1907_11_29_02;1907;-0.070019718;-0.03877161;2;10
Protocol_1907_11_30_01;1907;-0.090986;0.01521111;1;10
Protocol_1907_12_03_02;1907;-0.043362162;-0.0004;1;5
Protocol_1907_12_03_03;1907;-0.009792208;0.00253333;3;9
Protocol_1907_12_03_04;1907;-0.151625;0.02005833;1;10
Protocol_1907_12_03_06;1907;-0.03255;-0.10565;1;8
Protocol_1907_12_04_01;1907;0.011336232;0.04845;1;9
Protocol_1908_02_03_01;1908;-0.0810525;-0.11812778;4;10
Protocol_1908_02_05_02;1908;-0.026761538;-0.057133333;2;9
Protocol_1908_02_06_01;1908;-0.090146154;0;5;10
Protocol_1908_02_06_02;1908;-0.1294;0.001066667;3;6
Protocol_1911_02_22_02;1911;-0.119715385;-0.0778;1;10
Protocol_1912_05_10_01;1912;-0.031306667;0.3507;1;8
Protocol_1913_06_18_01;1913;-0.049572727;-0.33505;1;5
