ID;year;sentiment_per_speech;sentiment_per_extracted_words;count;count_out_of
Protocol_1898_01_19_01;1898;-0.098873684;-0.3064;1;10
Protocol_1899_03_09_01;1899;-0.105321739;-0.3208333;1;6
Protocol_1905_03_30_01;1905;-0.142768421;0.004;1;6
Protocol_1905_03_31_01;1905;-0.099656627;-0.05378755;1;10
Protocol_1905_03_31_02;1905;-0.071676276;-0.08782938;2;10
Protocol_1905_03_31_03;1905;-0.088885185;0.004;1;10
Protocol_1905_03_31_04;1905;-0.113559259;-0.09083313;4;10
Protocol_1905_03_31_05;1905;-0.046035616;-0.04495;3;10
Protocol_1907_11_28_04;1907;-0.081298876;-0.120925;1;10
Protocol_1907_11_29_02;1907;-0.070019718;-0.03877161;2;10
Protocol_1907_12_02_02;1907;-0.048945455;-0.0221;1;9
Protocol_1907_12_03_04;1907;-0.151625;0.02005833;1;10
Protocol_1907_12_03_05;1907;-0.11341;-0.2153;1;8
Protocol_1907_12_03_06;1907;-0.03255;-0.10565;1;8
Protocol_1908_02_03_01;1908;-0.0810525;-0.11812778;1;10
Protocol_1908_02_21_01;1908;-0.083378947;-0.025895;1;8
Protocol_1908_02_25_01;1908;-0.042233333;-0.0004;1;8
Protocol_1908_12_11_01;1908;-0.048118367;-0.05503974;1;10
Protocol_1909_01_19_04;1909;-0.121483333;-0.115675;1;7
Protocol_1909_01_28_01;1909;-0.02345;-0.355;2;9
Protocol_1911_02_22_01;1911;-0.172178947;-0.0185;2;8
Protocol_1911_02_22_02;1911;-0.119715385;-0.0778;1;10
Protocol_1911_02_22_03;1911;-0.173901923;-0.13533333;1;9
Protocol_1913_02_08_03;1913;-0.063628571;0.0016;1;7
Protocol_1913_02_11_01;1913;-0.104159091;-0.0048;2;9
Protocol_1913_04_03_01;1913;-0.06295625;-0.08605;1;10
Protocol_1913_04_19_01;1913;-0.4017;0;1;6
Protocol_1914_02_17_01;1914;0.004185714;-0.06255;1;6
