ID;year;sentiment_per_speech;sentiment_per_extracted_words;count;count_out_of
Protocol_1897_04_05_01;1897;-0.141752632;-0.37286667;8;9
Protocol_1898_01_13_01;1898;-0.0571625;-0.17740625;2;10
Protocol_1898_01_19_01;1898;-0.098873684;-0.3064;2;10
Protocol_1899_03_09_01;1899;-0.105321739;-0.3208333;1;6
Protocol_1901_02_21_01;1901;-0.033740909;0.24915;1;10
Protocol_1905_03_30_01;1905;-0.142768421;0.004;2;6
Protocol_1905_03_31_01;1905;-0.099656627;-0.05378755;3;10
Protocol_1905_03_31_02;1905;-0.071676276;-0.08782938;2;10
Protocol_1905_03_31_03;1905;-0.088885185;0.004;1;10
Protocol_1905_03_31_05;1905;-0.046035616;-0.04495;1;10
Protocol_1905_03_31_07;1905;-0.075934351;-0.12432236;1;10
Protocol_1905_03_31_08;1905;-0.038108421;-0.02487383;1;10
Protocol_1905_03_31_09;1905;-0.019041176;0;1;7
Protocol_1905_03_31_10;1905;0.01275;0.01980095;1;9
Protocol_1905_05_12_01;1905;-0.028195652;-0.1512;2;7
Protocol_1906_03_03_01;1906;-0.099138462;0.03555;4;6
Protocol_1907_11_28_01;1907;-0.109723932;-0.11218214;2;10
Protocol_1907_11_28_03;1907;-0.068832727;-0.01776667;1;10
Protocol_1907_11_28_04;1907;-0.081298876;-0.120925;1;10
Protocol_1907_11_28_05;1907;-0.050747619;-0.1674;1;10
Protocol_1907_11_29_01;1907;-0.03922869;-0.00907438;1;10
Protocol_1907_11_29_03;1907;-0.017345946;-0.23909667;1;10
Protocol_1907_12_02_01;1907;-0.066148276;0.1745;1;9
Protocol_1907_12_02_02;1907;-0.048945455;-0.0221;1;9
Protocol_1907_12_02_03;1907;-0.069284127;-0.03288143;3;10
Protocol_1907_12_03_05;1907;-0.11341;-0.2153;1;8
Protocol_1907_12_11_01;1907;0.004998039;0.059675;2;10
Protocol_1908_02_05_01;1908;0.01973;0.004;1;8
Protocol_1908_02_18_01;1908;-0.037827848;-0.00391111;1;10
Protocol_1908_02_18_02;1908;0.056392857;0.14381111;1;6
Protocol_1908_02_20_01;1908;-0.073872;-0.129475;2;10
Protocol_1908_02_20_04;1908;-0.081843478;0.03946875;1;5
Protocol_1908_03_17_01;1908;0.00495;0.004;1;7
Protocol_1908_12_05_01;1908;-0.049807273;-0.03420722;1;10
Protocol_1908_12_11_01;1908;-0.048118367;-0.05503974;1;10
Protocol_1909_01_18_01;1909;0.030788095;-0.11853333;2;8
Protocol_1909_01_18_04;1909;-0.09328658;-0.04001678;1;10
Protocol_1909_01_19_01;1909;-0.118716667;-0.21823333;1;6
Protocol_1909_01_19_03;1909;-0.240813636;-0.29909;1;8
Protocol_1909_04_23_01;1909;-0.098730224;0.0289537;2;10
Protocol_1909_04_23_03;1909;-0.055204;-0.11278;1;10
Protocol_1911_02_21_01;1911;-0.158961905;-0.08240833;2;8
Protocol_1911_02_21_03;1911;-0.017815625;-0.2853;1;7
Protocol_1913_02_11_01;1913;-0.104159091;-0.0048;1;9
Protocol_1913_02_13_01;1913;-0.122157143;-0.06918958;2;8
Protocol_1913_04_03_01;1913;-0.06295625;-0.08605;1;10
Protocol_1913_04_19_01;1913;-0.4017;0;1;6
Protocol_1914_01_30_01;1914;-0.104457143;-0.2374;3;5
Protocol_1914_02_16_01;1914;-0.07815625;-0.383;1;8
Protocol_1914_02_17_01;1914;0.004185714;-0.06255;1;6
